Company Name / 회사명,Type / 유형,HQ Location / 본사 위치,Area / 지역,AUM ($Bil),AUM (억원),AREA(지역),주주여부
제브라자산운용,Mutual,서울,0, 0 , 324 ,Korea,
제이더블유자산운용,Mutual,서울,0, 0 , 212 ,Korea,
제이드자산운용,Mutual,서울,0, 0 , 811 ,Korea,
제이비자산운용,Mutual,서울,0, 4 ," 56,371 ",Korea,
제이씨에셋자산운용,Mutual,서울,0, 0 ," 2,048 ",Korea,
제이알투자운용,Mutual,서울,0, 0 ," 6,880 ",Korea,
제이에이치자산운용,Mutual,서울,0, 0 , 457 ,Korea,
제이원자산운용,Mutual,서울,0, 0 , 42 ,Korea,
제이자산운용,Mutual,서울,0, 0 , 134 ,Korea,
제이커브자산운용,Mutual,서울,0, 0 , 550 ,Korea,
제이피에셋자산운용,Mutual,서울,0, 0 , 396 ,Korea,
조인에셋글로벌자산운용,Mutual,서울,0, 0 , 840 ,Korea,
지니자산운용,Mutual,서울,0, 0 , 446 ,Korea,
지베스코자산운용,Mutual,서울,0, 0 ," 2,362 ",Korea,
지브이에이자산운용,Mutual,서울,0, 0 ," 3,888 ",Korea,
지안자산운용,Mutual,서울,0, 0 , 559 ,Korea,
지알이파트너스자산운용,Mutual,서울,0, 0 ," 1,947 ",Korea,
지지자산운용,Mutual,서울,0, 0 ," 1,366 ",Korea,
지큐자산운용,Mutual,서울,0, 0 , 8 ,Korea,
차파트너스자산운용,Mutual,서울,0, 0 ," 2,503 ",Korea,
카디안자산운용,Mutual,서울,0, 6 ," 78,949 ",Korea,
카이로스자산운용,Mutual,서울,0, 0 , 118 ,Korea,
칸서스자산운용,Mutual,서울,0, 5 ," 65,824 ",Korea,
칼론인베스트먼트자산운용,Mutual,서울,0, 0 ," 1,723 ",Korea,
캐피탈랜드투자운용,Mutual,서울,0, 1 ," 11,857 ",Korea,
캡스톤자산운용,Mutual,서울,0, 2 ," 32,804 ",Korea,
케이리츠투자운용,Mutual,서울,0, 0 ," 2,395 ",Korea,
